date,Station code,SO2,CO,O3,NO2,PM10,PM25,lat,lon
2021-01-01,111121,0.003,0.5,0.018,0.021,29,16,37.5642629,126.9746757
2021-01-01,111122,0.003,0.4,0.021,0.024,25,11,37.5490645,126.9704658
2021-01-01,111123,0.003,0.5,0.024,0.015,26,14,37.5720164,127.0050075
2021-01-01,111124,0.003,0.4,0.023,0.015,22,15,37.5686022,126.9981682
2021-01-01,111125,0.003,0.4,0.024,0.013,22,11,37.570877,126.9965382
2021-01-01,111131,0.003,0.4,0.017,0.017,36,11,37.5400327,127.00485
2021-01-01,111141,0.002,0.5,0.018,0.015,27,13,37.5471803,127.0924929
2021-01-01,111142,0.003,0.4,0.029,0.02,21,14,37.5418642,127.0496589
2021-01-01,111143,0.003,0.8,0.026,0.012,22,17,37.5386913,127.0420444
2021-01-01,111151,0.004,0.5,0.02,0.022,21,11,37.5848485,127.0940229
2021-01-01,111152,0.004,0.4,0.025,0.016,19,12,37.5757428,127.0288848
2021-01-01,111154,0.004,0.4,0.017,0.025,,,37.5804857,127.0444312
2021-01-01,111161,0.004,0.7,0.019,0.022,13,9,37.6067189,127.0272794
2021-01-01,111162,0.003,0.4,0.022,0.019,19,11,37.6035773,127.0260077
