측정소코드,date,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소,Latitude,Longitude
111121,11/2/2019,2019110213,0.005083333,0.795833333,0.009791667,0.059291667,67.29166667,37.20833333,서울 중구 덕수궁길 15,37.5642629,126.9746757
111122,11/2/2019,2019110213,0.006166667,1,0.009708333,0.059333333,68.58333333,37.26086957,서울 용산구 한강대로 405,37.5490645,126.9704658
111123,11/2/2019,2019110213,0.005083333,0.8125,0.009083333,0.054708333,67.875,37.25,서울 종로구 종로35가길 19,37.5720164,127.0050075
111124,11/2/2019,2019110213,0.005708333,0.945833333,0.012083333,0.059833333,73.5,42.625,서울 중구 청계천로 184,37.5686022,126.9981682
111125,11/2/2019,2019110213,0.004666667,0.741666667,0.007666667,0.055916667,63.58333333,31.45833333,서울 종로구 종로 169,37.570877,126.9965382
111131,11/2/2019,2019110213,0.004416667,0.670833333,0.011916667,0.0555,67.625,37.5,서울 용산구 한남대로 136,37.5400327,127.00485
111141,11/2/2019,2019110213,0.00325,0.820833333,0.010833333,0.042666667,90,43.29166667,서울특별시 광진구 광나루로 571,37.5471803,127.0924929
111142,11/2/2019,2019110213,0.003541667,0.75,0.010708333,0.05575,76.54166667,36.125,서울 성동구 뚝섬로3길 18,37.5418642,127.0496589
111143,11/2/2019,2019110213,0.005875,0.758333333,0.007166667,0.063666667,68.5,41.125,서울 성동구 강변북로 257,37.5386913,127.0420444
111151,11/2/2019,2019110213,0.003541667,0.7125,0.011041667,0.049041667,83.45833333,34,서울 중랑구 용마산로 369,37.5848485,127.0940229
111152,11/2/2019,2019110213,0.003791667,0.7375,0.009875,0.055958333,73.625,34.875,서울 동대문구 천호대로13길 43,37.5757428,127.0288848
111154,11/2/2019,2019110213,0.00525,0.933333333,0.00775,0.054791667,81.41666667,37.45833333,서울 동대문구 홍릉로 1,37.5804857,127.0444312
111161,11/2/2019,2019110213,0.003333333,0.908333333,0.007375,0.054625,83.45833333,28.58333333,서울 성북구 삼양로2길 70,37.6067189,127.0272794
111162,11/2/2019,2019110213,0.004333333,0.829166667,0.003291667,,65.375,42.75,서울 성북구 돈암동 8-164번지,37.6035773,127.0260077
111171,11/2/2019,2019110213,0.003458333,0.808333333,0.00925,0.040958333,60.79166667,33.08695652,서울 도봉구 시루봉로2길 34,37.6541919,127.0290879
111181,11/2/2019,2019110213,0.005291667,0.816666667,0.011916667,0.054791667,65.70833333,37.75,서울 은평구 진흥로 215,37.6098232,126.9348476
111191,11/2/2019,2019110213,0.006125,0.941666667,0.011125,0.04925,66.70833333,29.75,서울 서대문구 세검정로4길 32(홍제3동 주민센터),37.5937254,126.9497493
111201,11/2/2019,2019110213,0.004666667,0.8375,0.007916667,0.062083333,77.04166667,43.5,서울 마포구 포은로 6길 10,37.5555803,126.9055975
111202,11/2/2019,2019110213,0.00525,0.966666667,0.006875,0.063458333,91.25,49.75,서울 마포구 노고산동 57-62,37.5551331,126.9361268
111212,11/2/2019,2019110213,0.009166667,0.829166667,0.010333333,0.054166667,89.75,49.25,서울 강서구 강서로 45 다길 71 화곡3동,37.54464,126.8351506
111213,11/2/2019,2019110213,0.006,0.75,0.00475,0.056916667,75,36.5,서울 강서구 마곡동 727-1091,37.5764888,126.8307466
111221,11/2/2019,2019110213,0.00625,0.541666667,0.01875,0.045833333,72.91666667,52,서울 구로구 가마산로 27길 45,37.4984981,126.8896924
111231,11/2/2019,2019110213,0.002583333,0.6875,0.013791667,0.051083333,69.20833333,40.875,서울특별시 영등포구 당산로 123,37.5261469,126.8961748
111232,11/2/2019,2019110213,0.005791667,0.966666667,0.007208333,0.066583333,92.75,50.54166667,서울 영등포구 영중로 37,37.5193148,126.9046511
111241,11/2/2019,2019110213,0.004625,0.733333333,0.012041667,0.053083333,80.20833333,45.20833333,서울 동작구 사당로16아길 6,37.4809167,126.9714807
111242,11/2/2019,2019110213,0.007291667,0.8625,0.0095,0.063708333,69.16666667,35.95652174,서울 동작구 동작대로 144,37.4893773,126.9829044
111251,11/2/2019,2019110213,0.003583333,0.8375,0.0105,,80.83333333,37.58333333,서울 관악구 신림동길 14,37.4873546,126.927102
111261,11/2/2019,2019110213,0.0045,0.716666667,0.021041667,0.053458333,85.79166667,40.625,서울 강남구 학동로 426,37.5175282,127.0474699
111262,11/2/2019,2019110213,0.004333333,0.595833333,0.016166667,0.052,96.16666667,46.41666667,서울 서초구 신반포로15길 16,37.5045471,126.9944578
111263,11/2/2019,2019110213,,,,,,,서울 강남구 도산대로 104,37.5160375,127.0203278
111264,11/2/2019,2019110213,,,,,,,서울특별시 서초구 강남대로 201,37.48181,127.0357439
111273,11/2/2019,2019110213,0.003416667,0.858333333,0.009875,0.055125,68.875,37.875,서울 송파구 백제고분로 236,37.5026857,127.0925092
111274,11/2/2019,2019110213,0.003625,0.695833333,0.009208333,0.050916667,93.875,46.29166667,서울 강동구 구천면로 42길 59,37.5449625,127.1367917
111275,11/2/2019,2019110213,0.004416667,0.833333333,0.007208333,0.056083333,86.54166667,44.375,서울 강동구 천호대로 1151,37.5341187,127.1393053
111281,11/2/2019,2019110213,0.004333333,0.683333333,0.012125,0.05275,61.70833333,36.25,서울 금천구 금하로21길 20,37.4523569,126.9082956
111282,11/2/2019,2019110213,0.006208333,0.933333333,0.012625,0.065291667,68.95833333,37.45833333,서울 금천구 독산동 996-9,37.4749217,126.8986641
111291,11/2/2019,2019110213,0.003375,0.691666667,0.012458333,0.040125,77.20833333,43.04166667,서울 강북구 삼양로 139길 49,37.6479299,127.0119518
111301,11/2/2019,2019110213,0.007875,0.858333333,0.015791667,0.059875,90.625,44.33333333,서울 양천구 중앙로52길 56,37.5259388,126.8566029
111311,11/2/2019,2019110213,0.005041667,0.804166667,0.007291667,0.022272727,64.125,39.83333333,서울 노원구 상계로 118,37.6574151,127.0678763
111312,11/2/2019,2019110213,0.002416667,0.708333333,0.006375,0.0475,80.875,37.25,서울 노원구 화랑로 429,37.6177168,127.0751199
131111,11/2/2019,2019110213,0.00525,0.783333333,0.017333333,0.043,84.29166667,48.625,경기 수원시 팔달구 신풍로 23번길 68,37.2837982,127.0104725
131112,11/2/2019,2019110213,0.004083333,0.766666667,0.016208333,0.046791667,82.625,45.75,경기 수원시 팔달구 효원로 241,37.26334,127.0286298
131113,11/2/2019,2019110213,0.004333333,0.7125,0.019125,0.046125,75.45833333,38.29166667,경기 수원시 영통구 법조로 129,37.2912716,127.0708178
131114,11/2/2019,2019110213,0.003958333,0.891666667,0.018666667,0.041625,86.54166667,43.25,경기 수원시 영통구 영통로 217번길 12,37.2469271,127.056315
131115,11/2/2019,2019110213,0.005166667,0.675,0.018791667,0.04125,89.45833333,39.25,경기 수원시 장안구 서부로 2066,37.2927558,126.9753032
131116,11/2/2019,2019110213,0.004916667,0.966666667,0.011791667,0.058708333,100.4166667,42.58333333,경기 수원시 팔달구 인계동 1047,37.2764837,127.0306756
131117,11/2/2019,2019110213,0.004125,0.8125,0.014041667,0.045333333,38.75,43.875,경기 수원시 권선구 서부로 1600,37.2522258,126.9763043
131118,11/2/2019,2019110213,0.003,0.7625,0.016875,0.047041667,90.5,39,경기 수원시 권선구 칠보로 161,37.2660998,126.9569005
131120,11/2/2019,2019110213,0.002291667,0.858333333,,0.045958333,74.95833333,33.41666667,경기 성남시 분당구 판교동 652-1,37.3897387,127.1017312
131121,11/2/2019,2019110213,0.0035,0.791666667,0.019375,0.04625,81.54166667,37.25,경기 성남시 수정구 희망로 506번길 21,37.4494794,127.1555122
131123,11/2/2019,2019110213,0.003708333,0.716666667,0.017208333,0.038041667,85.58333333,43.5,경기 성남시 분당구 돌마로 242,37.3607517,127.1195415
131124,11/2/2019,2019110213,0.004416667,0.866666667,0.0135,0.0425,81,35.95833333,경기 성남시 분당구 분당로 50,37.3826616,127.1191025
131125,11/2/2019,2019110213,0.003708333,0.970833333,0.00975,0.063791667,91.45833333,47.5,경기 성남시 수정구 성남대로 1229,37.4398574,127.1276594
131126,11/2/2019,2019110213,0.003666667,0.8625,0.017333333,0.045666667,84.625,37.66666667,경기 성남시 수정구 성남대로 1416번길 22,37.4563702,127.1305861
131128,11/2/2019,2019110213,0.002958333,0.670833333,0.019125,0.041333333,85.83333333,35.375,경기 성남시 분당구 운중로 138번길 10,37.3905882,127.0778385
131129,11/2/2019,2019110213,,,,,,,경기 성남시 중원구 둔촌대로 425,37.4331691,127.1643724
