날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
(월-일-시),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm)
01-01-01,27,14,0.020,0.018,0.4,0.003
01-01-02,26,14,0.017,0.021,0.5,0.003
01-01-03,25,16,0.014,0.026,0.5,0.003
01-01-04,22,13,0.021,0.018,0.4,0.003
01-01-05,25,13,0.010,0.029,0.5,0.003
01-01-06,27,16,0.005,0.036,0.6,0.003
01-01-07,31,19,0.002,0.043,0.6,0.003
01-01-08,33,19,0.002,0.042,0.6,0.003
01-01-09,32,20,0.004,0.044,0.7,0.003
01-01-10,35,21,0.005,0.044,0.8,0.004
01-01-11,45,30,0.010,0.038,0.7,0.003
01-01-12,36,22,0.013,0.032,0.5,0.004
01-01-13,28,18,0.018,0.026,0.4,0.004
01-01-14,29,18,0.020,0.025,0.4,0.003
01-01-15,31,19,0.024,0.020,0.4,0.003
01-01-16,29,18,0.027,0.018,0.4,0.003
01-01-17,26,15,0.029,0.015,0.4,0.003
01-01-18,27,17,0.024,0.020,0.4,0.003
01-01-19,28,20,0.018,0.028,0.5,0.003
01-01-20,29,19,0.017,0.029,0.5,0.003
01-01-21,29,20,0.019,0.026,0.5,0.003
01-01-22,27,15,0.017,0.028,0.5,0.003
01-01-23,31,16,0.020,0.022,0.5,0.003
01-01-24,34,20,0.023,0.017,0.5,0.004
01-02-01,34,17,0.030,0.011,0.4,0.003
01-02-02,24,10,0.028,0.012,0.4,0.003
01-02-03,27,13,0.026,0.014,0.4,0.003
01-02-04,26,14,0.023,0.016,0.4,0.003
01-02-05,25,12,0.027,0.012,0.4,0.003
01-02-06,22,7,0.024,0.015,0.3,0.003
01-02-07,22,8,0.027,0.013,0.3,0.003
01-02-08,19,7,0.024,0.016,0.4,0.003
01-02-09,20,7,0.017,0.023,0.4,0.003
01-02-10,18,7,0.025,0.015,0.4,0.004
01-02-11,20,9,0.025,0.014,0.4,0.003
01-02-12,20,9,0.023,0.017,0.4,0.003
01-02-13,20,8,0.030,0.011,0.4,0.003
